Neighbourhood,Agincourt North,Agincourt South-Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights,,Total
Scarborough Town Centre,6,,3,,4,1,,14
Finch Station (Yonge/Finch),5,,,,4,,,9
York University,1,,,,,,,1
Brimley/Huntingwood,1,,,,,,,1
Midland/Finch,2,,,,2,,,4
Midland/McNicoll,1,,,,,,,1
Midland/Steeles,1,,,,1,,,2
Kennedy Station (Kennedy/Eglinton),2,,2,,3,,,7
Union Station,1,,,1,3,,,5
Bayview/Sheppard,1,,,,,,,1
North York Centre,1,,,,,,,1
Agincourt GO,1,,,1,,,,2
Brimley/Alexmuir,1,,,,,,,1
Brimley/Finch,1,,,,,,,1
Bloor/Yonge,,,1,1,,,,2
Yorkdale Mall,,,,1,,,,1
Finch West Station,,,,1,,,,1
Kipling station,1,,,1,,,,2
Markham/Steeles,1,,,,1,1,,3
Markville Mall,1,,,,,,,1
Tapscott/McLevin,,,1,,,,,1
Rouge Hill GO station,,,1,,,,,1
Distillery District,,,1,,,,,1
"Dundas station (Yonge/Dundas, Toronto Metropolitan University)",,,1,,1,,,2
Pape/Danforth,,,1,,,,,1
Jarvis/Dundas,,,,,1,,,1
Scotiabank Arena,,,,,1,,,1
Budweiser Stage,,,,,1,,,1
Brimley/Ellesmere,,,,,1,,,1
Spadina Station,,,,,1,,,1
Finch/Warden,,,,,1,,,1
Milliken GO station,,,,,1,,,1
Middlefield/McNicoll,,,,,1,,,1
Woodside Square (Finch/McCowan),,,,,1,2,,3
Seneca Polytechnic,,,,,,2,,2
Prince of Peace Church,,,,,,1,,1
Markham/Ellesmere,,,,,,1,,1
Pan Am Sports Centre,,,,,,1,,1
Malvern Mall,,,,,,1,,1
Markham/Lawrence,,,,,,1,,1
McCowan/Eglinton,,,,,,1,,1
Birchmount/Huntingwood,,,,,,1,,1
Morningside/Sheppard,,,,,,1,,1
Neilson/Finch,,,,,,1,,1
Staines/Steeles,,,,,,1,,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Missisauga at-large,,,,,,1,,
GO station at-large,,,,,1,,,
Downtown at-large,,,1,,1,1,,
North York at-large,1,,,,,,,
Mall,1,,,,,,,
University,1,,,,,,,
Work,1,1,,1,1,,,
Subway station,1,,,,,,,
Gym,1,,,,,,,
Home,1,,,,,,,
School,1,,,,1,,,
Medical Appointments,,1,,,,,,
Shopping,,1,,1,,,,
Park,,,,1,,,,
Markham at-large,,,,,,1,,
Milliken at-large,,,,,,1,,
McNicoll at-large,,,,,,1,,